vessel,contents,treat,species,tileID,count_init,count_fin,settl,rep
3,coral,a,ofav,T774,0,0,no,1
4,blank,a,,1062,,,,
9,coral,a,pstr,1097,5,5,yes,1
13,coral,a,pstr,1007,1,1,yes,2
17,coral,a,pstr,898,1,1,yes,3
19,coral,a,ofav,011,0,0,no,2
21,coral,a,ofav,T187,0,0,no,3
1,blank,b,,1306,,,,
2,coral,b,ofav,514,0,0,no,1
7,coral,b,pstr,510,1,1,yes,1
8,coral,b,pstr,1033,4,4,yes,2
12,coral,b,ofav,320,0,0,no,2
16,coral,b,ofav,T005,0,0,no,3
28,coral,b,pstr,1274,2,2,yes,3
5,coral,c,ofav,T142,0,0,no,1
6,coral,c,ofav,1041,0,0,no,2
11,coral,c,pstr,T437,0,0,no,1
18,coral,c,ofav,1135,0,0,no,3
22,coral,c,pstr,T478,1,0,yes,2
23,coral,c,pstr,961,3,2,yes,3
25,blank,c,,no number,,,,
10,coral,d,ofav,T552,0,0,no,1
14,blank,d,,T625,,,,
15,coral,d,pstr,748,2,1,yes,1
20,coral,d,pstr,T380,0,0,no,2
24,coral,d,ofav,T433,0,0,no,2
26,coral,d,pstr,T194,0,0,no,3
27,coral,d,ofav,763,1,0,yes,3